Country,Period,"Real capital flight for period ($bn, 2000)","Flight stock ($bn, 2010)","External debt ($bn, 2010)",Flight stock to debt (%) 2010,geometry,geometry_vertex_count,OBJECTID,ISO_2DIGIT,Shape_Leng,Shape_Area,import_notes,Google requests
Angola,1989-2010,30.7,41.8,18.7,224,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>11.7527822136,-17.2548360987,0 11.7312452486,-15.85069079,0 12.0150001646,-15.5694459188,0 12.5127091946,-13.4243728891,0 12.9700001845,-12.7844459282,0 13.4591541412,-12.5086088933,0 13.7920821628,-11.7947270593,0 13.7683360634,-10.6728458613,0 12.9845823491,-9.08125504552,0 13.3875001006,-8.7402819056,0 13.3918001846,-8.39375491662,0 12.8177821402,-6.95028188576,0 12.2462451391,-6.10360891219,0 13.1788822414,-5.85632684221,0 16.579718262,-5.90083592166,0 16.9431181897,-7.19902693312,0 17.6311091629,-8.09805478281,0 18.5269451838,-7.93708200825,0 19.3727732616,-7.99333581047,0 19.538945163,-6.99660900001,0 20.6297452582,-6.91388196237,0 20.5487182382,-7.2836179384,0 21.7778542696,-7.28125491225,0 21.7550632042,-8.00375485142,0 21.9400001753,-8.49610901879,0 21.791527333,-9.41139105516,0 22.3138181382,-10.3749999602,0 22.3151362763,-10.7274998934,0 22.1664542217,-10.8599267555,0 22.2538912184,-11.2097268777,0 22.5675001265,-11.0336090099,0 23.8586091003,-11.0271547768,0 23.9862093273,-10.8704639813,0 24.050691141,-12.3924269978,0 23.8870091677,-12.7636090197,0 24.0194452499,-12.9994457685,0 22.0015272005,-13.0045818635,0 22.0001451923,-16.1716640383,0 22.1883271333,-16.5411178795,0 23.4761091621,-17.625835898,0 20.8541631726,-18.0163908452,0 20.3213182102,-17.8572268854,0 18.9194452355,-17.8163909236,0 18.4515362182,-17.3898360374,0 13.9932181677,-17.4239460248,0 13.4720822211,-17.0108358791,0 13.1491630301,-16.95417304,0 12.5572181064,-17.2433359598,0 12.0877731892,-17.1365270437,0 11.7527822136,-17.2548360987,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>12.214554169,-5.76855490468,0 12.0261271411,-5.01500001415,0 12.7652732047,-4.39389092883,0 13.0913910976,-4.63305479029,0 12.5722181927,-5.02180880176,0 12.5266630518,-5.72416384242,0 12.214554169,-5.76855490468,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",57,9,AO,56.327063,103.877599,,
Benin,1970-2010,-2.2,-1.9,1.2,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>0.917973046389,10.9964001491,0 1.43528231887,11.4588911041,0 2.02003607254,11.4260731032,0 2.39792713746,11.8961542068,0 2.38836321827,12.2473271171,0 2.83861827099,12.3966540754,0 3.60445415845,11.6932730898,0 3.47500018977,11.4297180576,0 3.73577310059,11.1206360477,0 3.85500014154,10.5850000792,0 3.58194506032,10.275272998,0 3.61200927071,9.95410009272,0 3.17139122738,9.49639101349,0 3.095000238,9.09055418038,0 2.79208211207,9.05041793983,0 2.71960915953,6.36550910518,0 1.63540025775,6.21871800792,0 1.79780013514,6.28025408553,0 1.55388205819,6.99656415683,0 1.61971821978,9.03423617279,0 1.33750020962,9.54250019826,0 1.3550002824,9.99528205952,0 0.776663210912,10.3766640195,0 0.917973046389,10.9964001491,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",24,25,BJ,16.196316,9.725431,,
Botswana,1977-2010,2.7,5,1.7,294,"<Polygon><outerBoundaryIs><LinearRing><coordinates>20.0009452738,-24.765408944,0 19.9966632947,-22.0049999487,0 20.9919450651,-21.9969459455,0 20.9932911987,-18.3184178072,0 23.2971090931,-17.9959460422,0 23.6132541975,-18.4851638691,0 24.3630543307,-17.9491639583,0 24.5663181655,-18.0542359764,0 24.8327731685,-17.8377089532,0 25.2644272693,-17.8022548438,0 26.1693732455,-19.5298638319,0 27.2136091862,-20.087363995,0 27.2874542563,-20.4949638776,0 27.7155822581,-20.5102181032,0 27.6867362735,-21.0711820039,0 28.0158272274,-21.5661089127,0 29.0725181734,-21.8094089081,0 29.0758273488,-22.0394458828,0 29.3736182645,-22.1924090783,0 28.2983362573,-22.6094459781,0 27.5290911145,-23.3793729048,0 27.0052090888,-23.6437550632,0 26.8304091915,-24.2751360032,0 26.4110451401,-24.6282727934,0 25.8713912224,-24.7444459718,0 25.5097181343,-25.6777817894,0 24.6845730733,-25.8282178411,0 23.9019452163,-25.6248638171,0 23.4543732108,-25.2770180194,0 23.0148272128,-25.2997269421,0 22.6248092104,-26.1115638878,0 21.6683272699,-26.8636819525,0 20.6411091073,-26.8259729435,0 20.8102731806,-25.880835909,0 20.3900001956,-25.0369458949,0 20.0009452738,-24.765408944,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",36,33,BW,32.813723,50.673522,,
Burkina Faso,1970-2010,-1.7,-1.8,2.1,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-5.5198459414,10.4362730976,0 -5.48562698923,11.077291047,0 -5.29944580844,11.1394452061,0 -5.20860894418,11.4616641729,0 -5.27305488331,11.8438910287,0 -4.63342682106,12.0672271747,0 -4.41749977457,12.3008271289,0 -4.46889073182,12.72389112,0 -4.19444576342,12.8286090865,0 -4.33555493613,13.1195092396,0 -3.96425489697,13.503827045,0 -3.43767289261,13.166500033,0 -3.23221769306,13.2880540579,0 -3.2574996924,13.6966641275,0 -2.88221791395,13.6643002581,0 -2.81555496143,14.0502822066,0 -2.46513692534,14.2861090647,0 -2.00694588667,14.1877730793,0 -1.98083676112,14.4747181476,0 -1.07416394517,14.7769449341,0 -0.725281976665,15.0827730892,0 0.235045245683,14.9150641143,0 0.166663164816,14.5230540688,0 0.607573233663,13.6988181089,0 1.27651817581,13.3480542355,0 0.991663218914,13.3716642128,0 0.989163232466,13.0472180067,0 1.57833609313,12.6300000578,0 2.14229115983,12.6941001596,0 2.25610919101,12.4811089585,0 2.05833617337,12.357218059,0 2.39792713746,11.8961542068,0 2.02003607254,11.4260731032,0 1.43528231887,11.4588911041,0 0.917973046389,10.9964001491,0 0.504163179327,10.9369451304,0 -0.149763906863,11.1385361049,0 -0.618472892944,10.9138910409,0 -2.83404577516,11.002009151,0 -2.9275267946,10.7081449893,0 -2.68556388039,9.48181806895,0 -2.77971779902,9.40360904477,0 -3.20860888924,9.90139116501,0 -3.63708189012,9.95444509186,0 -4.12416384037,9.82930914443,0 -4.31245491383,9.59997323211,0 -4.70444584868,9.69805407239,0 -5.1281907856,10.3030541456,0 -5.5198459414,10.4362730976,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",49,21,BF,25.632421,22.687920,,
Burundi,1975-2010,-0.5,-0.5,0.5,na,"<Polygon><outerBoundaryIs><LinearRing><coordinates>29.0244362239,-2.7447177792,0 29.1405542493,-2.58916390507,0 29.380482205,-2.82548194275,0 29.8219451442,-2.77278189986,0 29.9522181925,-2.30944588136,0 30.5733271102,-2.39916392918,0 30.4169452716,-2.85604588221,0 30.8436632696,-2.97879080793,0 30.8336091767,-3.25902683326,0 30.44847313,-3.55104597046,0 30.0261091954,-4.2694459855,0 29.4233361939,-4.44749990531,0 29.232500207,-3.88499976936,0 29.2372182126,-3.06028185013,0 29.0244362239,-2.7447177792,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",15,24,BI,7.036208,2.195484,,
Cameroon,1977-2010,-0.8,1.7,3,57,"<Polygon><outerBoundaryIs><LinearRing><coordinates>13.2938911733,2.16360906379,0 12.3356540624,2.31790012039,0 11.3673450889,2.29887303249,0 11.3397630953,2.16860903668,0 10.0209732215,2.16819094735,0 9.81176326456,2.34370012135,0 9.96513616748,3.08520904351,0 9.54305420015,3.81152710723,0 9.72250018644,3.86528209646,0 9.48836328761,4.1129180504,0 9.43500006853,3.89944522516,0 8.97410016638,4.0997911518,0 8.89860922577,4.58833607944,0 8.66639127986,4.68139113056,0 8.71416326659,4.50263614837,0 8.50840011591,4.52353608872,0 8.59173618264,4.81092707425,0 8.82471805521,5.18860909451,0 8.86444509125,5.83757308818,0 9.70884522794,6.5212540867,0 9.79555417251,6.80166412034,0 10.1661090605,7.02013608028,0 10.2306911217,6.88124509443,0 10.513336106,6.87805410388,0 10.6203451819,7.05708200084,0 11.0436091653,6.75333624579,0 11.1278451131,6.43791818762,0 11.3402732179,6.44083592812,0 11.8641632903,7.08471814152,0 11.7549631848,7.26830009412,0 12.0422913061,7.57736399911,0 12.2505542756,8.4009731602,0 12.7972183142,8.77139108786,0 12.8977822095,9.34805412564,0 13.2418090444,9.58500013551,0 13.253054038,10.0718090034,0 13.4543001811,10.1587449299,0 13.807218036,11.0558271722,0 14.6445091453,11.5723542455,0 14.6452821244,12.1883270681,0 14.1744451407,12.3966641337,0 14.0747180947,13.0816641085,0 14.435973261,13.0850001059,0 14.5462450766,12.7716641125,0 14.8224272783,12.6337730877,0 14.8943361287,12.1558091394,0 15.042600094,12.078891096,0 15.0581912722,10.801945024,0 15.675300178,9.98801813457,0 14.1947731,9.98175400303,0 13.957636318,9.64645407047,0 15.2072181583,8.47736398193,0 15.5799821806,7.76040917464,0 15.4990091401,7.52660906067,0 14.8050001281,6.34666407221,0 14.41889111,6.04097304507,0 14.6172181714,5.90124521,0 14.5326362186,5.2912451639,0 14.6725001758,5.18000020937,0 14.7234730437,4.64374498581,0 15.0869450558,4.29471801038,0 15.0438910747,4.02916406198,0 15.2602730909,3.67389105992,0 16.1030541792,2.89833618807,0 16.2070001724,2.22126415258,0 16.0834732152,2.15250002456,0 16.0722181632,1.6541641958,0 15.6875002057,1.93354493172,0 14.562636056,2.16847308221,0 13.2938911733,2.16360906379,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",70,45,CM,39.610280,37.942546,,
Cape Verde,1986-2010,-0.5,-0.9,0.1,na,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>-23.5258368145,14.8961091108,0 -23.7895177428,15.065418191,0 -23.6949997143,15.2950000284,0 -23.4447268136,15.0061090174,0 -23.5258368145,14.8961091108,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-22.800554754,15.9780540605,0 -22.9622269146,16.0449999861,0 -22.7986178638,16.2352730444,0 -22.6661088591,16.0950000503,0 -22.800554754,15.9780540605,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-25.2813909002,16.9133271037,0 -25.3323639358,17.0950001616,0 -24.9734728014,17.1086819422,0 -25.2813909002,16.9133271037,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-24.3213907398,16.4827730439,0 -24.354581903,16.6840272335,0 -24.0241637585,16.5722910995,0 -24.3213907398,16.4827730439,0</coordinates></LinearRing></outerBoundaryIs></Polygon><Polygon><outerBoundaryIs><LinearRing><coordinates>-24.3899998026,14.8111090687,0 -24.5244458652,14.9183271893,0 -24.3825729334,15.0461820584,0 -24.3899998026,14.8111090687,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",22,50,CV,4.251436,0.182330,,
Chad,1970-2010,0.3,0.4,1.7,24,"<Polygon><outerBoundaryIs><LinearRing><coordinates>22.866500048,10.9224451084,0 22.463327319,11.0008360199,0 21.7190272231,10.6381270962,0 21.6669452617,10.235827091,0 20.371663106,9.10832716793,0 18.9888911475,8.96416396496,0 18.8763733172,8.84142708587,0 19.1258273059,8.67277313523,0 18.5888911365,8.04028209591,0 17.6488912029,7.98847321697,0 16.8174541824,7.54630016295,0 16.5336092448,7.86777314035,0 15.9748631957,7.50131817651,0 15.4990091401,7.52660906067,0 15.5799821806,7.76040917464,0 15.2072181583,8.47736398193,0 13.957636318,9.64645407047,0 14.1947731,9.98175400303,0 15.675300178,9.98801813457,0 15.0581912722,10.801945024,0 15.042600094,12.078891096,0 14.8943361287,12.1558091394,0 14.8224272783,12.6337730877,0 14.5462450766,12.7716641125,0 14.435973261,13.0850001059,0 14.0747180947,13.0816641085,0 13.6251181715,13.7183360411,0 13.4650001834,14.4508360937,0 13.6743732522,14.5522909853,0 14.3688912134,15.7338910644,0 15.4897181356,16.9209730758,0 15.7538910817,19.9325002029,0 15.9966631848,20.3530539817,0 15.5775002991,20.76597302,0 15.5830541482,21.0186089469,0 15.2095821902,21.4918002395,0 14.99789119,23.0005910951,0 16.0008271467,23.4505541223,0 24.0027453136,19.4990641095,0 23.9975632857,15.7028449978,0 23.1181541187,15.7102909777,0 22.9372181653,15.5619450374,0 22.9293732068,15.1140270269,0 22.6999271563,14.7041001604,0 22.3865271251,14.5626360979,0 22.5561822103,14.1297910963,0 22.0844451779,13.7791641832,0 22.2850003168,13.3405539409,0 21.8291000523,12.7972000835,0 21.9527731899,12.6438910507,0 22.2233271112,12.7472181242,0 22.4643002903,12.6148641847,0 22.5590271959,11.6290271428,0 22.9713911846,11.2802730822,0 22.866500048,10.9224451084,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",55,204,TD,50.460002,106.885338,,
Congo,1970-2010,7.9,8,3.8,211,"<Polygon><outerBoundaryIs><LinearRing><coordinates>18.624954275,3.47944498731,0 18.6158272206,3.13805409333,0 18.0918731106,2.22242705783,0 17.8736091895,0.992364155569,0 17.9611092181,0.399718169495,0 17.7122181579,-0.544717970217,0 17.3230541038,-1.00416394744,0 16.861945157,-1.25444590057,0 16.1940273332,-2.18097293063,0 16.2269452464,-3.32833578498,0 15.8905001782,-3.94300890975,0 15.5352732766,-4.05819101185,0 14.6693001328,-4.90721795911,0 14.41889111,-4.88721806752,0 14.4058362957,-4.28278192877,0 13.7302731704,-4.44833591633,0 13.699582329,-4.72583592081,0 13.4120822111,-4.88278186143,0 13.0913910976,-4.63305479029,0 12.7652732047,-4.39389092883,0 12.0261271411,-5.01500001415,0 11.7527822136,-4.51610896811,0 11.1406632224,-3.92527280258,0 11.4920822254,-3.50902698681,0 11.7400001465,-3.68666399075,0 11.9218731967,-3.62749999174,0 11.9622912368,-3.29742684638,0 11.7063910616,-3.17778188374,0 11.8048631692,-3.01541804853,0 11.5427732937,-2.83166393164,0 11.57347302,-2.3363908503,0 12.4780542158,-2.32721786308,0 12.4369451716,-1.90110889417,0 12.6525002292,-1.8234728569,0 13.0015092674,-2.36767295123,0 13.4846542377,-2.43465491898,0 13.764445184,-2.09076403856,0 13.8705540435,-2.4708999448,0 14.1108362185,-2.49305482369,0 14.2588913067,-1.97368192664,0 14.4280542065,-1.88458196036,0 14.5195822425,-0.61333591784,0 13.8490271368,-0.202635904503,0 13.9604181041,0.348609011825,0 14.4856911904,0.917218046459,0 14.1915272918,1.39055401074,0 13.8044453024,1.43562702464,0 13.1867821851,1.222473047,0 13.2938911733,2.16360906379,0 14.562636056,2.16847308221,0 15.6875002057,1.93354493172,0 16.0722181632,1.6541641958,0 16.0834732152,2.15250002456,0 16.2070001724,2.22126415258,0 16.6644452217,3.53541799576,0 17.463609065,3.71110905706,0 18.1936091312,3.48250002338,0 18.4797181885,3.64083601883,0 18.624954275,3.47944498731,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",59,40,CG,35.445048,27.965373,,
"Congo, DRC",1970-2010,2.9,6.4,5.7,112,"<Polygon><outerBoundaryIs><LinearRing><coordinates>29.4233361939,-4.44749990531,0 29.347909291,-4.93041789369,0 29.6316633687,-5.72194599083,0 29.5502822971,-6.29528191596,0 30.3150000387,-7.14375498705,0 30.7712362499,-8.19224608473,0 28.901663135,-8.47860894601,0 28.8683273001,-8.82694609081,0 28.3771450904,-9.25041794533,0 28.6955541469,-9.79576384582,0 28.5950003099,-10.2461089202,0 28.6987453051,-10.6518729984,0 28.3654092525,-11.555554816,0 29.0270822231,-12.3769457902,0 29.481663176,-12.4594458459,0 29.4735362503,-12.2490999735,0 29.8050450481,-12.1552459593,0 29.8016631178,-13.4497269728,0 29.6340272331,-13.4155549593,0 29.5947182864,-13.2234730863,0 29.0187452469,-13.3984729758,0 28.4462451651,-12.5258358837,0 27.6554181304,-12.2902819403,0 27.2089733232,-11.5764909662,0 27.0331181443,-11.5969459951,0 26.8739541844,-11.9717359235,0 26.0047181333,-11.9024998943,0 25.3636091564,-11.642981922,0 25.3444451082,-11.2052819545,0 24.4491632987,-11.462635887,0 24.3986093583,-11.1118089816,0 23.9862093273,-10.8704639813,0 23.8586091003,-11.0271547768,0 22.5675001265,-11.0336090099,0 22.2538912184,-11.2097268777,0 22.1664542217,-10.8599267555,0 22.3151362763,-10.7274998934,0 22.3138181382,-10.3749999602,0 21.791527333,-9.41139105516,0 21.9400001753,-8.49610901879,0 21.7550632042,-8.00375485142,0 21.7778542696,-7.28125491225,0 20.5487182382,-7.2836179384,0 20.6297452582,-6.91388196237,0 19.538945163,-6.99660900001,0 19.3727732616,-7.99333581047,0 18.5269451838,-7.93708200825,0 17.6311091629,-8.09805478281,0 16.9431181897,-7.19902693312,0 16.579718262,-5.90083592166,0 13.1788822414,-5.85632684221,0 12.8979181639,-5.81194600588,0 12.4358360782,-6.01666393323,0 12.214554169,-5.76855490468,0 12.5266630518,-5.72416384242,0 12.5722181927,-5.02180880176,0 13.0913910976,-4.63305479029,0 13.4120822111,-4.88278186143,0 13.699582329,-4.72583592081,0 13.7302731704,-4.44833591633,0 14.4058362957,-4.28278192877,0 14.41889111,-4.88721806752,0 14.6693001328,-4.90721795911,0 15.5352732766,-4.05819101185,0 15.8905001782,-3.94300890975,0 16.2269452464,-3.32833578498,0 16.1940273332,-2.18097293063,0 16.861945157,-1.25444590057,0 17.3230541038,-1.00416394744,0 17.7122181579,-0.544717970217,0 17.9611092181,0.399718169495,0 17.8736091895,0.992364155569,0 18.0918731106,2.22242705783,0 18.6158272206,3.13805409333,0 18.624954275,3.47944498731,0 18.544445089,4.34000006895,0 18.751663338,4.39055400935,0 19.0854181506,4.91471800227,0 19.4159001652,5.13103614837,0 19.8413910525,5.08450920954,0 20.3393002424,4.7675000985,0 20.5719451625,4.41749998411,0 22.3466632964,4.12750004739,0 22.8933271674,4.82013610366,0 23.4245093278,4.59374508921,0 24.3872912744,5.11215406739,0 24.7344452297,4.91083600762,0 25.2900001207,5.02500004376,0 25.3619451809,5.31471801326,0 25.540136061,5.38069113515,0 26.4947181593,5.04555414678,0 26.8694452234,5.03097298798,0 27.0902733363,5.20347305873,0 27.4552732018,5.01639115862,0 27.7688911624,4.78777324013,0 27.7894450978,4.60013612276,0 28.363054273,4.29000017235,0 28.7825001317,4.55736410893,0 29.2436092462,4.34610913527,0 29.467773189,4.66389122542,0 29.6433271223,4.64360919898,0 30.2077732009,3.9616640926,0 30.5510361092,3.86381811325,0 30.5620091939,3.61326408353,0 30.7863912338,3.66000006703,0 30.8588180859,3.49339113312,0 30.7297181688,2.44805397798,0 31.3027733001,2.12139092612,0 29.9575001326,0.81833606387,0 29.9598631587,0.483745240321,0 29.7186091859,0.0770821192022,0 29.5969451904,-1.38583592125,0 29.2708361824,-1.62639084337,0 29.1183271184,-2.24110889513,0 28.8674272513,-2.39868180211,0 29.0244362239,-2.7447177792,0 29.2372182126,-3.06028185013,0 29.232500207,-3.88499976936,0 29.4233361939,-4.44749990531,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",119,38,CD,79.119701,189.763852,,
